id,date_accident,accident_type,district,longitude,latitude,road_condition,weather_condition,road_part,number_of_participants,vehicle_brand_uz,vehicle_model_uz,vehicle_color_uz,year_manufacture
149027,2023-01-01,velosipedchini urib yuborish,Beshariq tumani,70.6644,40.3501,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,qaymoq rang,2013.0
149025,2023-01-01,to'qnashuv,Uchko'prik tumani,71.0508,40.53,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2016.0
149023,2023-01-08,to'qnashuv,Uchko'prik tumani,71.0633,40.5399,quruq,kun ochiq,yo'lning tog'ri qismi,2,KAMAZ,4211,qizil,1983.0
149021,2023-01-07,piyodani urib yuborish,Rishton tumani,71.2612,40.351,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Matiz,kulrang,2008.0
149019,2023-01-04,velosipedchini urib yuborish,Bog'dod tumani,71.209,40.4622,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 2,oq,2014.0
149008,2023-06-08,piyodani urib yuborish,Zomin tumani,68.1266,39.9735,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,DAMAS VAN,oq,2021.0
148993,2023-06-08,to'qnashuv,Sharof Rashidov tumani,67.9574,40.1543,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Cobalt,qaymoq rang,2013.0
148973,2023-05-31,to'qnashuv,To'raqo'rg'on tumani,71.3609,40.9653,quruq,kun ochiq,yo'lning tog'ri qismi,3,KAMAZ,4325,bej,2007.0
148972,2023-05-31,velosipedchini urib yuborish,Namangan tumani,71.5853,40.9198,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2011.0
148971,2023-05-23,velosipedchini urib yuborish,Namangan shahri,71.6753,41.0207,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Damas,oq,2010.0
148969,2023-05-21,piyodani urib yuborish,Namangan shahri,71.6524,41.0157,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2105,sariq,1986.0
148967,2023-05-24,piyodani urib yuborish,Namangan shahri,71.6832,40.9715,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2012.0
148965,2023-05-21,to'qnashuv,Mingbuloq tumani,71.6095,40.8554,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Nexia,qaymoq rang,2011.0
148963,2023-05-22,piyodani urib yuborish,Chortoq tumani,71.8314,41.0583,quruq,kun ochiq,boshqa holatlar,2,Lada(VAZ),2103,bej,1982.0
148961,2023-05-27,YTHning boshqa turlari,Pop tumani,70.4685,41.1295,quruq,kun ochiq,yo'lning tog'ri qismi,3,ISUZU,NQR 71,oq,2015.0
148960,2023-05-18,piyodani urib yuborish,Namangan shahri,71.5047,41.0426,quruq,kun ochiq,shlagbaumli t/y kesishma,2,Chevrolet,Cobalt,oq,2013.0
